,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
128,Python Automação Suprema: Domine as Melhores Soluções para Impulsionar sua Produtividade e Transformar sua Vida (Programação Descomplicada: Domine as Linguagens do Futuro de um jeito rápido e fácil),Raphael R,,," 2,6 ",8 avaliações de clientes,51 páginas,19 março 2023,vazio,  eBook Kindle 
129,Programação Orientada à Objetos em Python: Do Básico ao Avançado,Fernando Feltrin,,," 5,0 ",7 avaliações de clientes,248 páginas,20 outubro 2022,vazio,  eBook Kindle 
130,Programação Orientada à Objetos Avançada em Python: Versão Definitiva,Fernando Feltrin,,,,,317 páginas,5 março 2024,vazio,  eBook Kindle 
131,"Desenvolvendo aplicativos com GPT-4 e ChatGPT: Crie chatbots inteligentes, geradores de conteúdo e muito mais",Olivier Caelen,Marie-Alice Blete,," 4,4 ",34 avaliações de clientes,228 páginas,8 novembro 2023,Novatec Editora,  eBook Kindle 
132,Aprendizado Profundo Para Finanças,Jideon F Marques ,,,,,717 páginas,14 janeiro 2024,Clube de Autores,  eBook Kindle 
133,Fundamentos da analise Tecnica: A Teoria de Dow,Rise Traders,,," 4,0 ",164 avaliações de clientes,8 páginas,26 outubro 2020,vazio,  eBook Kindle 
134,"A próxima onda: Inteligência artificial, poder e o maior dilema do século XXI",Mustafa Suleyman,Michael Bhaskar,," 4,6 ",137 avaliações de clientes,420 páginas,16 outubro 2023,Record,  Capa comum – 16 outubro 2023 
135,Programação do Raspberry Pi com Python: Aprenda a Programar no Pequeno Computador Mais Popular do Mundo,Wolfram Donat,,," 4,4 ",42 avaliações de clientes,296 páginas,8 janeiro 2019,Novatec Editora,  Capa comum – 8 janeiro 2019 
136,Inteligência Artificial com Python - Fernando Feltrin: Redes Neurais Artificiais Intuitivas,Fernando Feltrin,,," 4,4 ",42 avaliações de clientes,182 páginas,29 abril 2020,vazio,  eBook Kindle 
137,Padrões em Dados: Detecção usando Python,Francisco Iago Lira Passos,,,,,63 páginas,16 abril 2024,vazio,  eBook Kindle 
138,Introdução à Linguagem Python,José Augusto N. G. Manzano,,," 4,7 ",33 avaliações de clientes,352 páginas,22 novembro 2018,Novatec Editora,  Capa comum – 22 novembro 2018 
139,O Guia da Carreira-Solo dos Membros do Monty Python: De 1970 ao Covid-19,Thiago Meister Carneiro,,," 5,0 ",3 avaliações de clientes,vazio,24 maio 2021,vazio,  [Print Replica] eBook Kindle 
140,Blockchain e Criptomoedas em Python,Fernando Feltrin,,," 4,2 ",34 avaliações de clientes,67 páginas,20 abril 2021,vazio,  eBook Kindle 
141,Python para crianças,Pri Inácia,,,,,8 páginas,20 abril 2024,vazio,  eBook Kindle 
142,Código Limpo: Habilidades Práticas do Agile Software,Robert C. Martin,,," 4,9 ",6.510 avaliações de clientes,425 páginas,8 setembro 2009,Alta Books,"  Capa comum – Edição padrão, 8 setembro 2009 "
143,Programação Python: aprenda de forma rápida,William Pereira Alves,,,,,150 páginas,29 novembro 2021,Expressa,  eBook Kindle 
144,"Python Fluente: Programação Clara, Concisa e Eficaz",Luciano Ramalho,,," 4,8 ",768 avaliações de clientes,800 páginas,15 outubro 2015,Novatec Editora,  Capa comum – 15 outubro 2015 
145,Introdução à Linguagem Python,José Augusto N. G. Manzano,,," 4,7 ",33 avaliações de clientes,352 páginas,22 novembro 2018,Novatec Editora,  Capa comum – 22 novembro 2018 
146,Código Limpo: Habilidades Práticas do Agile Software,Robert C. Martin,,," 4,9 ",6.510 avaliações de clientes,425 páginas,8 setembro 2009,Alta Books,"  Capa comum – Edição padrão, 8 setembro 2009 "
147,Programação Python: aprenda de forma rápida,William Pereira Alves,,,,,150 páginas,29 novembro 2021,Expressa,  eBook Kindle 
148,Python Cookbook,David Beazley,Brian K. Jones,," 4,8 ",45 avaliações de clientes,720 páginas,12 novembro 2013,Novatec Editora,  Capa comum – 12 novembro 2013 
149,Aprenda Python do Jeito Certo: Uma introdução muito simples ao incrível mundo dos computadores e da codificação,Zed A. Shaw,Eveline Machado,," 4,6 ",201 avaliações de clientes,376 páginas,23 maio 2019,Alta Books,  eBook Kindle 
150,Introdução às Expressões Regulares,Michael Fitzgerald,,," 4,8 ",207 avaliações de clientes,160 páginas,6 setembro 2012,Novatec Editora,  Capa comum – 6 setembro 2012 
151,Microsserviços Prontos Para a Produção: Construindo Sistemas Padronizados em uma Organização de Engenharia de Software,Susan J. Fowler,,," 4,7 ",1.297 avaliações de clientes,224 páginas,5 outubro 2017,Novatec Editora,  Capa comum – 5 outubro 2017 
152,Python Data Science: Do básico ao intermediário,Liana A. Eich,,," 4,4 ",8 avaliações de clientes,94 páginas,11 fevereiro 2023,vazio,  eBook Kindle 
153,"Django de A a Z: Crie aplicações web rápidas, seguras e escaláveis com Python",Tiago Silva,,," 4,6 ",14 avaliações de clientes,502 páginas,11 maio 2021,Casa do Código,  eBook Kindle 
154,Aprenda Logica de Programação com Python: Desenvolva habilidades essenciais para qualquer desenvolvedor de software e prepare-se para criar suas próprias aplicações com a linguagem amigável Python.,Cesar Breitenbach,,," 5,0 ",1 classificação,8 páginas,18 janeiro 2024,vazio,  eBook Kindle 
155,Mestre em Programação com Python: Uma Jornada Profunda e Transformadora para Iniciantes na Ciência da Computação,Ezequiel Barbosa  Santos,,," 5,0 ",1 classificação,11 páginas,3 fevereiro 2024,vazio,  eBook Kindle 
156,Introdução à computação e programação usando Python,John V. Guttag,,," 4,2 ",17 avaliações de clientes,360 páginas,1 janeiro 2016,Infopress,  Capa comum – 1 janeiro 2016 
157,Aprenda Mineração de Dados: Teoria e Prática,Fernando Amaral,,," 4,1 ",51 avaliações de clientes,240 páginas,18 setembro 2016,Editora Alta Books,  Capa comum – 18 setembro 2016 
158,PYTHON TOTAL Volume 4,Fernando Feltrin,,," 4,0 ",1 classificação,1951 páginas,5 janeiro 2023,vazio,  eBook Kindle 
159,Aprenda Python Básico - Rápido e Fácil de entender,Felipe Galvão,,," 4,4 ",341 avaliações de clientes,125 páginas,11 janeiro 2017,vazio,  eBook Kindle 
160,ALGORITMOS E LÓGICA DE PROGRAMAÇÃO COM PYTHON,CLUBE DE AUTORES,,,,,732 páginas,24 abril 2024,CLUBE DE AUTORES,  Capa comum – 24 abril 2024 
161,CRUD em Python,Fernando Feltrin,,," 5,0 ",2 avaliações de clientes,187 páginas,9 janeiro 2024,vazio,  eBook Kindle 
162,IMPLEMENTANDO UM PERCEPTRON NO PYTHON,CLUBE DE AUTORES,,,,,732 páginas,24 abril 2024,CLUBE DE AUTORES,  Capa comum – 24 abril 2024 
163,Use a Cabeça!: Programação,Paul Barry,David Griffiths,," 4,6 ",102 avaliações de clientes,440 páginas,18 agosto 2009,Alta Books,  Capa comum – 18 agosto 2009 
164,"Domine o Excel ® (3 em 1): Excel - 70 Fórmulas Incríveis, Excel - 51 Macros incríveis e 51 Dicas e Truques Incríveis",Luiz Felipe Araujo,,," 4,4 ",416 avaliações de clientes,142 páginas,10 fevereiro 2018,vazio,  eBook Kindle 
165,"Django de A a Z: Crie aplicações web rápidas, seguras e escaláveis com Python",Tiago Silva,,," 4,6 ",14 avaliações de clientes,502 páginas,11 maio 2021,Casa do Código,  eBook Kindle 
166,SQL - Guia Prático: um Guia Para o uso de SQL,Alice Zhao,,," 4,8 ",196 avaliações de clientes,320 páginas,3 janeiro 2023,Novatec Editora,  Capa comum – 3 janeiro 2023 
167,Introdução ao Python Para Engenharia Química,Sidinei Silva,,," 5,0 ",6 avaliações de clientes,588 páginas,24 junho 2023,Blucher,  Capa dura – 24 junho 2023 
168,Jornada Python: uma jornada imersiva na aplicabilidade de uma das mais poderosas linguagens de programação do mundo,Antonio Muniz,André Guilhon,," 4,8 ",45 avaliações de clientes,748 páginas,14 fevereiro 2022,BRASPORT,  eBook Kindle 
169,Python Para Todos: Explorando Dados com Python 3,Yuri Loia de Medeiros,,," 4,8 ",24 avaliações de clientes,262 páginas,24 abril 2020,vazio,  Capa comum – 24 abril 2020 
170,Python Progressivo,Francisco J M De Matos,,," 4,8 ",17 avaliações de clientes,617 páginas,7 outubro 2019,Clube de Autores,  eBook Kindle 
171,Programação Orientada a Objetos – Conceitos e técnicas,SERGIO FURGERI,,," 4,2 ",24 avaliações de clientes,267 páginas,18 junho 2018,Érica,  eBook Kindle 
172,"Aprenda Lógica de Programação e Algoritmos com Implementações em Portugol, Scratch, C, Java, C# e Python",Cláudio Luís Vieira Oliveira,,," 4,3 ",32 avaliações de clientes,368 páginas,1 janeiro 2016,Ciência Moderna,  Capa comum – 1 janeiro 2016 
173,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python,Miguel Grinberg,,," 4,8 ",104 avaliações de clientes,398 páginas,9 abril 2019,Novatec Editora,  eBook Kindle 
174,Python descomplicado com o Chatgpt.,Clayton Costa,,," 4,4 ",4 avaliações de clientes,27 páginas,15 março 2024,vazio,  eBook Kindle 
175,Programação de redes com Python: Guia abrangente de programação e gerenciamento de redes com Python 3,Brandon Rhodes,John Goerzen,," 4,7 ",96 avaliações de clientes,713 páginas,9 outubro 2018,Novatec Editora,  eBook Kindle 
176,Python para Pentesters: Guia prático para criação das próprias ferramentas,Thiago  Cavalcante,,,,,264 páginas,28 maio 2023,vazio,  eBook Kindle 
177,Python para todos 2: Intermediário com 22 projetos e 140 vídeos,Anibal Azevedo,,," 4,5 ",9 avaliações de clientes,vazio,7 outubro 2021,vazio,  [Print Replica] eBook Kindle 
178,Reconhecimento de Padrões: um Estudo Dirigido,Rogério Galante Negri,,," 4,7 ",75 avaliações de clientes,276 páginas,9 dezembro 2021,Blucher,  Capa comum – 9 dezembro 2021 
179,Introdução ao MongoDB,David Hows,,," 4,5 ",69 avaliações de clientes,168 páginas,5 março 2015,Novatec Editora,  Capa comum – 5 março 2015 
180,Aprendendo Química com python,Rodrigo Queiroz de Albuquerque,Gerd Bruno da Rocha,," 5,0 ",2 avaliações de clientes,531 páginas,30 janeiro 2023,vazio,  eBook Kindle 
181,"Domine o Excel ® (3 em 1): Excel - 70 Fórmulas Incríveis, Excel - 51 Macros incríveis e 51 Dicas e Truques Incríveis",Luiz Felipe Araujo,,," 4,4 ",416 avaliações de clientes,142 páginas,10 fevereiro 2018,vazio,  eBook Kindle 
182,Aprenda a programar com Python: Descomplicando o desenvolvimento de software,Leonardo Soares e Silva,Gabriel Fortes,," 5,0 ",1 classificação,389 páginas,10 junho 2022,Casa do Código,  eBook Kindle 
183,Python na Prática Vol. 3 (Python na Prática - Fernando Feltrin),Fernando Feltrin,,," 4,4 ",9 avaliações de clientes,155 páginas,22 abril 2023,vazio,  eBook Kindle 
184,Introdução ao Desenvolvimento de Jogos em Python com PyGame,Harrison Kinsley,Will McGugan,," 4,6 ",14 avaliações de clientes,442 páginas,9 dezembro 2019,Novatec Editora,  eBook Kindle 
185,Python do zero ao absoluto : Curso Completo de Linguagem de Programação Python,Jario Cláudio da Conceição,,," 5,0 ",1 classificação,vazio,19 agosto 2023,vazio,  eBook Kindle 
186,Chatbots para Telegram: Programe seus primeiros bots usando Python,Priscila Keli L. P. Frizzarin,Fernando Bryan Frizzarin,,,,176 páginas,31 janeiro 2023,Casa do Código,  eBook Kindle 
187,50 CÓDIGOS PRONTOS FEITOS EM PYTHON : LIVRO EDIÇÃO PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo 1),DIETRICH  MONTCHO,,," 4,4 ",19 avaliações de clientes,67 páginas,5 fevereiro 2023,vazio,  eBook Kindle 
188,Coletânea PYTHON TOTAL: Edição Exercícios Resolvidos e Comentados em Python,Fernando Feltrin,,,,,1015 páginas,5 março 2024,vazio,  eBook Kindle 
189,Python Para Todos: Explorando Dados com Python 3,Yuri Loia de Medeiros,,," 4,8 ",24 avaliações de clientes,262 páginas,24 abril 2020,vazio,  Capa comum – 24 abril 2020 
190,O que é Linux,Augusto Campos,,," 4,1 ",922 avaliações de clientes,vazio,30 novembro 2012,vazio,  eBook Kindle 
191,Data Science Para Programadores. Um Guia Completo Utilizando a Linguagem Python,Cleuton Sampaio de Melo Junior,,," 3,6 ",5 avaliações de clientes,256 páginas,1 janeiro 2018,Irh Press do Brasil,  Capa comum – 1 janeiro 2018 
192,Pandas Python: Data Wrangling para Ciência de Dados,Eduardo Corrêa,,," 4,6 ",27 avaliações de clientes,247 páginas,24 janeiro 2020,Casa do Código,  eBook Kindle 
193,Desenvolvimento Avançado de Aplicativos com Python e KivyMD,Francisco Iago Lira Passos,,,,,81 páginas,15 abril 2024,vazio,  eBook Kindle 
194,Programação Orientada a Objetos – Conceitos e técnicas,SERGIO FURGERI,,," 4,2 ",24 avaliações de clientes,267 páginas,18 junho 2018,Érica,  eBook Kindle 
195,Programação em Python. Introdução à Programação Utilizando Múltiplos Paradigmas,João Pavão Martins,,," 3,6 ",2 avaliações de clientes,596 páginas,1 janeiro 2015,IST Press,  Capa comum – 1 janeiro 2015 
196,360 Exercícios Resolvidos e Comentados em Python (Exercícios Resolvidos e Comentados em Python - Fernando Feltrin Livro 3),Fernando Feltrin,,," 5,0 ",1 classificação,735 páginas,22 abril 2023,vazio,  eBook Kindle 
197,"PYTHON BÁSICO - Anotações, Exemplos, Exercícios e Projetos: Vários exercícios e projetos básicos do ""hello world"" até o ""for"" com resoluções comentadas (Python, do básico ao avançado! Livro 1)",Code em  um minuto,,," 4,4 ",9 avaliações de clientes,73 páginas,31 março 2023,vazio,  eBook Kindle 
198,Introdução a Algoritmos e Programação com Python - Uma Abordagem Dirigida Por Testes,Raul Sidnei Wazlawick,,," 4,9 ",21 avaliações de clientes,540 páginas,17 novembro 2023,GEN LTC,  eBook Kindle 
199,PYTHON TOTAL: Deep Learning e Visão Computacional,Fernando Feltrin,,,,,1651 páginas,9 maio 2024,vazio,  eBook Kindle 
200,"Informação, conhecimento, ação autônoma e big data: continuidade ou revolução?",Daniel Martínez-Ávila,,," 4,5 ",1.283 avaliações de clientes,259 páginas,1 janeiro 2019,SciELO - Editora UNESP,  eBook Kindle 
201,CRUD em Python,Fernando Feltrin,,," 5,0 ",2 avaliações de clientes,187 páginas,9 janeiro 2024,vazio,  eBook Kindle 
202,"Python, ChatGPT e Django REST: Seu Guia para Dominar APIs Poderosas e Não Ficar Obsoleto",Marcus Vinicius D. B. Braga,,," 1,0 ",1 classificação,422 páginas,25 julho 2023,UICLAP,"  Impressão sob demanda (capa comum) – Edição padrão, 25 julho 2023 "
203,Introdução à programação em Python (Série Universitária),Sérgio Furgeri,,,,,185 páginas,12 março 2021,Editora Senac São Paulo,  eBook Kindle 
204,Python para todos: Iniciante,Anibal Azevedo,,," 4,3 ",24 avaliações de clientes,352 páginas,4 fevereiro 2021,vazio,  eBook Kindle 
205,Aplicações Avançadas de Visão Computacional: Da Teoria à Prática,Francisco Iago Lira Passos,,,,,83 páginas,23 abril 2024,vazio,  eBook Kindle 
206,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python,Miguel Grinberg,,," 4,8 ",104 avaliações de clientes,398 páginas,9 abril 2019,Novatec Editora,  eBook Kindle 
207,CRUD em Python: Versão Estendida,Fernando Feltrin,,,,,354 páginas,9 janeiro 2024,vazio,  eBook Kindle 
208,Python para todos: Iniciante,Anibal Azevedo,,," 4,3 ",24 avaliações de clientes,352 páginas,4 fevereiro 2021,vazio,  eBook Kindle 
209,Pandas Python: Data Wrangling para Ciência de Dados,Eduardo Corrêa,,," 4,6 ",27 avaliações de clientes,247 páginas,24 janeiro 2020,Casa do Código,  eBook Kindle 
210,Python: guia básico para iniciantes,Francisco Jonas,,," 5,0 ",1 classificação,62 páginas,3 dezembro 2023,vazio,  eBook Kindle 
211,Python Descomplicado: P,EDUARDO PEREIRA,,,,,223 páginas,9 abril 2023,vazio,  eBook Kindle 
212,Introducao A Programacao Numerica Em Python,Elinei Pinto Dos Santos,,," 3,8 ",7 avaliações de clientes,288 páginas,6 fevereiro 2021,MODERNA,  Capa comum – 6 fevereiro 2021 
213,"Estruturas de Dados: Domine as práticas essenciais em C, Java, C#, Python e JavaScript",Thiago Leite e Carvalho,,," 4,0 ",2 avaliações de clientes,375 páginas,13 junho 2023,Casa do Código,  eBook Kindle 
214,Processamento de imagens: Edição de construção do ambiente Python/OpenCV,Dr. mint,,," 5,0 ",1 classificação,76 páginas,10 maio 2024,vazio,  eBook Kindle 
215,Chatbots para Telegram: Programe seus primeiros bots usando Python,Priscila Keli L. P. Frizzarin,Fernando Bryan Frizzarin,,,,176 páginas,31 janeiro 2023,Casa do Código,  eBook Kindle 
216,Python Além da Teoria,Enzo Carvalho Tucci,,," 5,0 ",2 avaliações de clientes,53 páginas,21 junho 2023,vazio,  eBook Kindle 
217,Dominando o Pyspark: Guia Prático e Objetivo,Cézar Augusto Meira Carmo,,," 4,4 ",7 avaliações de clientes,177 páginas,3 julho 2023,vazio,  eBook Kindle 
218,Python Poderoso: Dominando a Linguagem,julio cesar,,,,,73 páginas,4 abril 2024,vazio,  eBook Kindle 
219,Método de Volumes Finitos Aplicado à Condução de Calor: Uma abordagem com Python,Aluizio de Freitas,,," 4,6 ",14 avaliações de clientes,vazio,2 julho 2021,vazio,  eBook Kindle 
220,Não me Faça Pensar: Atualizado,Steve Krug,,," 4,8 ",1.141 avaliações de clientes,212 páginas,6 agosto 2014,Editora Alta Books,  Capa comum – 6 agosto 2014 
221,Guia Python Definitivo Para Iniciantes: Evolução e trabalho na área de Tecnologia,Marcelo Fabiano  N. de Oliveira,,," 4,2 ",3 avaliações de clientes,80 páginas,7 dezembro 2023,vazio,  eBook Kindle 
222,Programação Matemática: Otimização Linear e Não Linear,José Felipe Souza de Almeida,,," 3,0 ",5 avaliações de clientes,vazio,5 julho 2021,Editora Dialética,  eBook Kindle 
223,Python Rad (Rapid Application Development) - Aplicacao Para Web e Desktop,Souza,,," 3,5 ",4 avaliações de clientes,224 páginas,1 janeiro 2014,Ciencia Moderna,  Capa comum – 1 janeiro 2014 
224,"PYTHON BÁSICO - Anotações, Exemplos, Exercícios e Projetos: Vários exercícios e projetos básicos do ""hello world"" até o ""for"" com resoluções comentadas (Python, do básico ao avançado! Livro 1)",Code em  um minuto,,," 4,4 ",9 avaliações de clientes,73 páginas,31 março 2023,vazio,  eBook Kindle 
225,Fundamentos Algorítmicos Negociação Com Pythonseu,Jideon F Marques ,,,,,329 páginas,30 janeiro 2024,Clube de Autores,  eBook Kindle 
226,Consumindo a API do Zabbix com Python,Janssen dos Reis Lima,,," 4,5 ",43 avaliações de clientes,214 páginas,17 maio 2016,BRASPORT,  eBook Kindle 
227,Black Hat Python 2ª Edição: Programação Python para hackers e pentesters,Justin Seitz,Tim Arnold,," 5,0 ",3 avaliações de clientes,vazio,8 maio 2024,Novatec Editora,  eBook Kindle 
228,"Inteligência Artificial em poucas palavras, Volume 2.: A aprendizagem profunda “melhorando” os seus antepassados",Dr. mint,,,,,96 páginas,18 maio 2024,vazio,  eBook Kindle 
229,Coletânea PYTHON TOTAL: Edição Redes Neurais Artificiais,Fernando Feltrin,,,,,1663 páginas,5 abril 2023,vazio,  eBook Kindle 
230,+100 Problemas com soluções e Projetos com Python: Exercícios do nível iniciante até o super avançado para exercitar sua logica de programação,Nomade  Programador,,,,,45 páginas,23 abril 2023,vazio,  eBook Kindle 
231,Algoritmos e Lógica da Programação,Marco A. Furlan de Souza,,," 4,7 ",677 avaliações de clientes,304 páginas,10 janeiro 2019,Editora Cengage,  Capa comum – 10 janeiro 2019 
232,Processamento de linguagem natural com Python: Simplesmente em profundidade,Ajit Singh,André Diogo Weber,," 4,3 ",7 avaliações de clientes,102 páginas,19 junho 2021,Babelcube Inc.,  eBook Kindle 
233,50 FUNÇÕES PANDAS COM EXEMPLOS PRÁTICOS (PYTHON) EDITION PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 3),DIETRICH MONTCHO,,," 5,0 ",2 avaliações de clientes,vazio,1 abril 2023,vazio,  [Print Replica] eBook Kindle 
234,Python em 100 Páginas: Aprenda os fundamentos de forma rápida e prática,Dan Murray,Roger F. Silva,," 4,3 ",11 avaliações de clientes,114 páginas,12 abril 2020,vazio,  eBook Kindle 
235,Como usar o Chatgpt para programar em python,Clayton Costa,,,,,19 páginas,13 março 2024,vazio,  eBook Kindle 
236,Programação em Python. Fundamentos e Resolução de Problemas,Ernesto Costa,,,,,632 páginas,1 janeiro 2015,FCA,  Capa comum – 1 janeiro 2015 
237,Coletânea PYTHON TOTAL Volume 3,Fernando Feltrin,,," 5,0 ",1 classificação,2215 páginas,10 julho 2022,vazio,  eBook Kindle 
238,Análise de Séries Temporais: Modelos Multivariados e Não Lineares (Volume 2),Pedro A. Morettin,Clélia M. C. Toloi,," 4,7 ",52 avaliações de clientes,284 páginas,1 setembro 2020,Blucher,  Capa comum – 1 setembro 2020 
239,CCNA 7.0 - VOLUME 1 e 2 - CCIE Lucas Palma - Preparatório para certificação CCNA 200-301,,,,,,1060 páginas,vazio,vazio,  Livro em oferta 
240,Automação em Python: Aprenda em 2h,Marcelo F. N. de Oliveira,,," 1,0 ",1 classificação,32 páginas,26 janeiro 2024,vazio,  eBook Kindle 
241,Coletânea Python Bootcamp: (Exercícios em Python),Felipe de Agostini,,,,,380 páginas,24 agosto 2023,vazio,  eBook Kindle 
242,Deep Learning em Python: Versão Estendida,Fernando Feltrin,,," 4,5 ",2 avaliações de clientes,394 páginas,6 abril 2023,vazio,  eBook Kindle 
243,Começando a Programar em Python Para Leigos,John Paul Mueller,,," 4,5 ",38 avaliações de clientes,400 páginas,20 maio 2016,Editora Alta Books,"  Capa comum – Edição padrão, 20 maio 2016 "
244,Python. Algoritmia e Programação Web,José Braga De Vasconcelos,,," 4,5 ",2 avaliações de clientes,324 páginas,1 janeiro 2015,FCA,  Capa comum – 1 janeiro 2015 
245,Visão Computacional em Python: Do básico às redes neurais artificiais: Versão Estendida,Fernando Feltrin,,,,,689 páginas,10 outubro 2023,vazio,  eBook Kindle 
246,Design de Microsserviços com Django: uma Visão Geral das Ferramentas e Práticas,Akos Hochrein,,," 4,4 ",43 avaliações de clientes,144 páginas,15 abril 2020,Novatec Editora,  Capa comum – 15 abril 2020 
247,SOLID: Rápido e Fácil,Avner Mayer,,," 4,3 ",25 avaliações de clientes,35 páginas,10 fevereiro 2023,vazio,  eBook Kindle 
248,Deep Learning em Python: Fernando Feltrin,Fernando Feltrin,,,,,381 páginas,3 abril 2023,vazio,  eBook Kindle 
249,"Análise Exploratória de Dados com Python, Pandas e Numpy",Fernando Feltrin,,," 4,5 ",77 avaliações de clientes,180 páginas,29 junho 2021,vazio,  eBook Kindle 
250,ALGORITMOS COM PYTHON PARA INICIANTES,RAFAEL SOARES DE ALMEIDA,,,,,252 páginas,1 janeiro 2023,CIENCIA MODERNA,  Capa comum – 1 janeiro 2023 
251,A Linguagem de Programação Go,Alan A. A. Donovan,Brian W. Kernighan,," 4,8 ",472 avaliações de clientes,480 páginas,14 março 2017,Novatec Editora,  Capa comum – 14 março 2017 
252,Programação Orientada a Objetos com Python,Fernando Feltrin,,," 4,5 ",112 avaliações de clientes,124 páginas,17 janeiro 2020,vazio,  eBook Kindle 
253,Análise de dados Python para novatos: numpy/pandas/matplotlib/sklearn/keras,Joshua K. Cage,,," 4,2 ",18 avaliações de clientes,118 páginas,20 setembro 2020,vazio,  eBook Kindle 
254,"Bata em 100 bibliotecas Python: série de aprendizagem de 1 hora, edição 2024",Kanllo Tomoya,,,,,166 páginas,13 fevereiro 2024,vazio,  eBook Kindle 
255,Python - 20% que eu preciso saber para ter 80% de resultados,Fabricio de Mello Viegas,,," 3,0 ",1 classificação,186 páginas,26 setembro 2023,vazio,  Capa comum – 26 setembro 2023 
256,Introdução à Orientação a Objetos com C++ e Python: Uma abordagem prática,Orlando Saraiva Jr,,," 4,4 ",60 avaliações de clientes,226 páginas,21 março 2017,Novatec Editora,  eBook Kindle 
257,Análise Financeira com Python - Fernando Feltrin,Fernando Feltrin,,," 4,4 ",87 avaliações de clientes,98 páginas,14 junho 2020,vazio,  eBook Kindle 
258,Fundamentos da Programação Lógica e Funcional: o Princípio de Resolução e a Teoria de Reescrita,Mauricio Ayala-Rincón,Flávio Leonardo Cavalcanti De Moura,," 4,4 ",12 avaliações de clientes,232 páginas,1 janeiro 2014,Editora UnB,  Capa comum – 1 janeiro 2014 
259,Tópicos de análise de dados Python,adam hazlewood,,," 5,0 ",1 classificação,23 páginas,15 abril 2023,vazio,  eBook Kindle 
260,Documentação do Python,Cláudio Rogério  Carvalho Filho,,," 4,0 ",2 avaliações de clientes,10262 páginas,30 junho 2022,vazio,  eBook Kindle 
261,Desenvolvimento Back-end com Python e JavaScript,Fernando Feltrin,,," 4,0 ",4 avaliações de clientes,194 páginas,6 outubro 2022,vazio,  eBook Kindle 
262,Utilizando a linguagem Python para Análises de dados com Chat GPT: Data Science,Edvaldo Souza,,,,,40 páginas,20 dezembro 2023,vazio,  eBook Kindle 
263,Algoritmos Genéticos,Ricardo Linden,,," 4,6 ",49 avaliações de clientes,496 páginas,1 janeiro 2012,Ciência Moderna,  Capa comum – 1 janeiro 2012 
264,Python Para Universitários: Aprenda Programação Orientada a Objetos (POO) Passo a Passo,Eduardo Moura,,," 2,0 ",1 classificação,530 páginas,21 julho 2023,vazio,  eBook Kindle 
265,3 em 1 - Python do ZERO às Redes Neurais Artificiais: Python do básico ao avançado + Redes Neurais Artificiais,Fernando Feltrin,,," 4,6 ",28 avaliações de clientes,515 páginas,26 janeiro 2020,vazio,  eBook Kindle 
266,Python para Todos - Apostila do curso: Aprenda a criar diversas aplicações,EVALDO WOLKERS,LOUIS WOLKERS,," 4,8 ",5 avaliações de clientes,332 páginas,8 agosto 2019,vazio,  eBook Kindle 
267,Introdução À Algoritmia e Programação com Python,Filipe Portela,Tiago C. Pereira,," 1,0 ",1 classificação,384 páginas,21 novembro 2023,Fca,  Capa comum – 21 novembro 2023 
268,"Desenvolvimento de Jogos 2D com Unity: O Guia do Iniciante (Jogos, python e IA)",Michael Lopes Bastos,,," 5,0 ",1 classificação,116 páginas,18 janeiro 2024,vazio,  eBook Kindle 
269,PUDIM PROJECT: Python Volume 06 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 6),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,48 páginas,15 abril 2024,vazio,  eBook Kindle 
270,Documentação do PyGame,Cláudio Rogério Carvalho Filho,,,,,924 páginas,4 dezembro 2021,vazio,  eBook Kindle 
271,Deixe seu código limpo e brilhante: Desmistificando Clean Code com Java e Python,José Yoshiriro,,," 4,0 ",2 avaliações de clientes,232 páginas,17 maio 2023,Casa do Código,  eBook Kindle 
272,O Zen do Python: Uma Introdução Suave à Programação,Vinicius Borges,,,,,409 páginas,14 maio 2023,vazio,  eBook Kindle 
273,Programação com Arduino: Começando com Sketches,Simon Monk,,," 4,7 ",191 avaliações de clientes,180 páginas,14 julho 2017,Bookman,  eBook Kindle 
274,Construindo Aplicações web com PHP e MySQL,André Milani,,," 4,4 ",92 avaliações de clientes,336 páginas,1 novembro 2016,Novatec Editora,  Capa comum – 1 novembro 2016 
275,Black Hat Python: Programação Python Para Hackers e Pentesters,Justin Seitz,,," 4,6 ",211 avaliações de clientes,200 páginas,2 março 2015,Novatec Editora,  Capa comum – 2 março 2015 
276,Modelagem Matemática de Doenças Infecciosas: com aplicação em Python para COVID-19,Gilberto Pereira Ramos,,,,,147 páginas,8 agosto 2023,Editora Dialética,  eBook Kindle 
277,Computação Numérica: Métodos e Implementações,Milton Brown do Coutto Filho,Vinícius Biajoni Braga Flôr,,,,352 páginas,28 fevereiro 2024,Blucher,  Capa comum – 28 fevereiro 2024 
