,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
29,Expressões Regulares: Uma Abordagem Divertida,Aurelio Marinho Jargas,,," 4,9 ",619 avaliações de clientes,248 páginas,28 janeiro 2016,Novatec Editora,  Capa comum – 28 janeiro 2016 
30,Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos,Aditya Y. Bhargava,,," 4,8 ",3.446 avaliações de clientes,264 páginas,24 abril 2017,Novatec Editora,  Capa comum – 24 abril 2017 
31,"Estatística: O que é, para que serve, como funciona",Charles Wheelan,,," 4,8 ",2.136 avaliações de clientes,328 páginas,10 março 2016,Zahar,  Capa comum – 10 março 2016 
32,Aprendendo Padrões de Projeto em Python: Tire Proveito da Eficácia dos Padrões de Projeto (design Patterns) em Python Para Resolver Problemas do Mundo Real em Arquitetura e Design de Software,Chetan Giridhar,,," 4,5 ",178 avaliações de clientes,168 páginas,3 outubro 2016,Novatec Editora,  Capa comum – 3 outubro 2016 
33,Matemática com Python: um Guia Prático,Guilherme A. Barucke Marcondes,,," 4,6 ",196 avaliações de clientes,192 páginas,9 outubro 2018,Novatec Editora,  Capa comum – 9 outubro 2018 
34,Python Essencial (Série Programação Essencial),Ricardo Maroquio,,," 4,8 ",19 avaliações de clientes,444 páginas,1 agosto 2023,vazio,  eBook Kindle 
35,Fundamentos de Python: Estruturas de Dados,Kenneth A. Lambert,,," 4,5 ",39 avaliações de clientes,448 páginas,26 abril 2022,Editora Cengage,  Capa comum – 26 abril 2022 
36,Introdução a Linguagem de Programação Python,Fabio Junior Alves,,," 4,2 ",18 avaliações de clientes,104 páginas,9 setembro 2020,Ciencia Moderna,  Capa comum – 9 setembro 2020 
37,Introdução à Linguagem SQL: Abordagem Prática Para Iniciantes,Thomas Nield,,," 4,8 ",1.288 avaliações de clientes,144 páginas,26 abril 2016,Novatec Editora,  Capa comum – 26 abril 2016 
38,Python e R Para o Cientista de Dados Moderno: o Melhor de Dois Mundos,Boyan Angelov,Rick J. Scavetta,," 4,7 ",94 avaliações de clientes,200 páginas,15 setembro 2022,Novatec Editora,  Capa comum – 15 setembro 2022 
