,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
150,"Aplicações Web com Python, Flet e Dash",Fernando Feltrin,,," 5,0 ",1 classificação,381 páginas,13 fevereiro 2023,vazio,  eBook Kindle 
151,Princípios de Ecologia Numérica: com exemplos em Python,Mauro J. Cavalcanti,,," 5,0 ",2 avaliações de clientes,225 páginas,16 abril 2019,vazio,  eBook Kindle 
152,FUNDAMENTOS DE DEEP LEARNING: Um Guia Essencial para Estudantes e Profissionais,Diego  Rodrigues,,,,,50 páginas,11 maio 2024,vazio,  eBook Kindle 
153,Trilhas Python: Programação multiparadigma e desenvolvimento Web com Flask,Eduardo Pereira,,," 5,0 ",4 avaliações de clientes,439 páginas,22 junho 2018,Casa do Código,  eBook Kindle 
154,"Python Para Análise de Dados: Tratamento de Dados com Pandas, NumPy e IPython",Wes McKinney,,," 4,8 ",1.136 avaliações de clientes,616 páginas,9 janeiro 2018,Novatec Editora,  Capa comum – 9 janeiro 2018 
155,Wild Lovers (San Diego Pythons Livro 2),Esther Moretti,,," 4,7 ",1.145 avaliações de clientes,459 páginas,12 janeiro 2024,vazio,  eBook Kindle 
156,Deep Learning em Python: Versão Estendida,Fernando Feltrin,,," 4,5 ",2 avaliações de clientes,394 páginas,6 abril 2023,vazio,  eBook Kindle 
157,Aprendizado profundo Para Leigos,John Paul Mueller,Luca Massaron,," 4,6 ",47 avaliações de clientes,368 páginas,28 agosto 2020,Alta Books,  Capa comum – 28 agosto 2020 
158,Sistemas Orientados a Objetos: Teoria e Prática com UML e Java,Pablo Rangel,José Gomes de Carvalho Jr.,," 4,7 ",52 avaliações de clientes,304 páginas,5 janeiro 2022,Brasport,"  Capa comum – Edição padrão, 5 janeiro 2022 "
159,Modelagem Matemática de Doenças Infecciosas - Com aplicação em Python para Covid-19,Gilberto Pereira Ramos,,,,,140 páginas,28 julho 2023,Dialética,  Capa comum – 28 julho 2023 
160,CCNA 7.0 - VOLUME 1 e 2 - CCIE Lucas Palma - Preparatório para certificação CCNA 200-301,,,,,,1060 páginas,vazio,vazio,  Livro em oferta 
161,Documentação do PyInstaller,Cláudio Rogério Carvalho Filho,,," 4,5 ",2 avaliações de clientes,354 páginas,4 dezembro 2021,vazio,  eBook Kindle 
162,PUDIM PROJECT: Python Volume 01 - Funções Essenciais (Python PUDIM PROJECT Livro 1),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,50 páginas,14 abril 2024,vazio,  eBook Kindle 
163,Python Descomplicado: P,EDUARDO PEREIRA,,,,,223 páginas,9 abril 2023,vazio,  eBook Kindle 
164,"Segredos do Desenvolvimento Web com CSS Avançado: Domine práticas de HTML e CSS Avançado, Plano Cartesiano e Box Model para Front-End (Aprendendo Desenvolvimento Web Front-End, HTML e CSS)",Dorian Torres,,," 5,0 ",1 classificação,50 páginas,15 abril 2024,vazio,  eBook Kindle 
165,Análise de dados Python para novatos: numpy/pandas/matplotlib/sklearn/keras,Joshua K. Cage,,," 4,2 ",18 avaliações de clientes,118 páginas,20 setembro 2020,vazio,  eBook Kindle 
166,Ebook: Python para Leigos - Um Guia Completo para Iniciantes,Ápio Nogueira,,," 4,0 ",1 classificação,30 páginas,20 julho 2023,vazio,  eBook Kindle 
167,Introdução à Programação com Python,Nilo Ney Coutinho Menezes,,," 4,8 ",203 avaliações de clientes,328 páginas,17 junho 2014,Novatec,  Capa comum – 17 junho 2014 
168,"Bata em 100 bibliotecas Python: série de aprendizagem de 1 hora, edição 2024",Kanllo Tomoya,,,,,166 páginas,13 fevereiro 2024,vazio,  eBook Kindle 
169,"Django Essencial: Usando REST, Websockets e Backbone",Julia Elman,Mark Lavin,," 3,8 ",6 avaliações de clientes,312 páginas,31 março 2015,Novatec Editora,  Capa comum – 31 março 2015 
170,Práticas de Python. Algoritmia e Programação,Adelaide Carvalho,,," 5,0 ",1 classificação,352 páginas,30 março 2021,Fca,  Capa comum – 30 março 2021 
171,PUDIM PROJECT: Python Volume 04 - Funções para Automatização (Python PUDIM PROJECT Livro 4),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,62 páginas,15 abril 2024,vazio,  eBook Kindle 
172,PUDIM PROJECT: Python Volume 03 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 3),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,49 páginas,14 abril 2024,vazio,  eBook Kindle 
173,Desenvolvimento Back-end com Python e JavaScript,Fernando Feltrin,,," 4,0 ",4 avaliações de clientes,194 páginas,6 outubro 2022,vazio,  eBook Kindle 
174,Código De Processo Civil Comentado,Nelson Nery Junior,,," 4,8 ",106 avaliações de clientes,2288 páginas,1 janeiro 2013,Revista dos Tribunais,  Capa comum – 1 janeiro 2013 
175,Aprenda Python em 2h: Com Projeto Backend Completo Grátis,Marcelo F. N.  de Oliveira,,," 5,0 ",2 avaliações de clientes,36 páginas,25 janeiro 2024,vazio,  eBook Kindle 
176,Algoritmos e programação II com C# (Série Universitária),Rafael Sanches Rocha,,,,,210 páginas,13 julho 2023,Editora Senac São Paulo,  eBook Kindle 
177,PUDIM PROJECT: Python Volume 05 - Automatizando Postagens em Redes e Plataformas Sociais (Python PUDIM PROJECT Livro 5),ANDRE LUIZ BERNARDES,Ana Cláudia Santos Bernardes,,,,49 páginas,15 abril 2024,vazio,  eBook Kindle 
178,Dicionário de Termos Técnicos de Informática - 3a. edição,Carlos E. Morimoto,,," 4,5 ",387 avaliações de clientes,vazio,1 dezembro 2012,vazio,  eBook Kindle 
179,Exercícios Python Numpy: Skyrocket sua habilidade de Python,Joshua K. Cage,,,,,165 páginas,30 setembro 2020,vazio,  eBook Kindle 
180,Coletânea PYTHON NA PRÁTICA Vol. 3: Aprenda Python Através de Exercícios Resolvidos e Comentados,Fernando Feltrin,,," 5,0 ",3 avaliações de clientes,474 páginas,29 junho 2022,vazio,  eBook Kindle 
181,Python Em 30 Dias,Jideon Francisco Marques ,,,,,210 páginas,12 julho 2023,Clube de Autores,  eBook Kindle 
182,Mãos à obra: aprendizado de máquina com scikit-learn & tensorflow,Aurélien Géron,,," 4,7 ",408 avaliações de clientes,576 páginas,28 junho 2019,Alta Books,  Capa comum – 28 junho 2019 
183,Curso Básico de Python,Renato da Silva,,,,,60 páginas,10 abril 2024,vazio,  eBook Kindle 
184,Desvendando o MongoDB. Do Mongo Shell ao Java Driver,Marcio Ballem de Souza,,," 5,0 ",5 avaliações de clientes,408 páginas,1 janeiro 2015,Ciência Moderna,  Capa comum – 1 janeiro 2015 
185,Controle e Modelagem Fuzzy,Marcelo Godoy Simões,Ian S. Shaw,," 4,5 ",43 avaliações de clientes,200 páginas,1 janeiro 2007,Blucher,  Capa comum – 1 janeiro 2007 
186,Docker: Conceito e Prática,Geraldo Melo,,,,,57 páginas,1 fevereiro 2024,vazio,  eBook Kindle 
187,Análise de Dados com Python e Pandas,Daniel Y. Chen,,," 4,7 ",148 avaliações de clientes,432 páginas,1 outubro 2018,Novatec Editora,  Capa comum – 1 outubro 2018 
188,Cálculo Numérico,Neide Maria Bertoldi Franco Franco,,," 4,4 ",22 avaliações de clientes,520 páginas,24 novembro 2006,Pearson Universidades,  Capa comum – 24 novembro 2006 
189,Como usar o Chatgpt para programar: Python,Clayton  Costa,Clayton Costa,," 5,0 ",1 classificação,62 páginas,26 março 2024,vazio,  eBook Kindle 
190,Tópicos Avançados em Python - Fernando Feltrin,Fernando Feltrin,,," 4,6 ",14 avaliações de clientes,214 páginas,4 agosto 2020,vazio,  eBook Kindle 
191,Ensine Seus Filhos a Programar: Um Guia Amigável aos Pais Para a Programação Python,Bryson Payne,,," 4,6 ",93 avaliações de clientes,368 páginas,15 setembro 2015,Novatec Editora,  Capa comum – 15 setembro 2015 
192,CONJUNTOS E LOGICA FUZZY,GERALDO BONORINO XEXEO,,," 5,0 ",6 avaliações de clientes,172 páginas,8 setembro 2022,CIENCIA MODERNA,  Capa comum – 8 setembro 2022 
193,Roteiro de Aprendizagem: Lógica de Programação e Algoritmos: Python como primeira linguagem,Milton Miranda Neto,Ígor Moraes,," 5,0 ",1 classificação,vazio,24 setembro 2023,vazio,  [Print Replica] eBook Kindle 
194,Introdução a Lógica de Programação,Carlos Isaias dos Santos Junior,,,,,57 páginas,30 setembro 2013,Clube de Autores,"  Capa comum – Edição padrão, 30 setembro 2013 "
195,Coletânea Python Na Prática - 3 Volumes,Fernando Feltrin,,," 5,0 ",2 avaliações de clientes,647 páginas,22 abril 2023,vazio,  eBook Kindle 
196,"Mudanças Cerebrais Devido a Psicoterapia: Alterações nos Padrões Energéticos Cerebrais, Quantificados por Eletroencefalografia Quantitativa (qEEG), ... Psicoterapêutico Cognitivo Comportamental",Sergio Pilling,,," 5,0 ",3 avaliações de clientes,278 páginas,24 abril 2023,Appris Editora,  Capa comum – 24 abril 2023 
197,Aprendendo PySpark: Passo a Passo,Ecio Ferreira,,," 5,0 ",3 avaliações de clientes,426 páginas,2 janeiro 2024,vazio,  Capa comum – 2 janeiro 2024 
198,Introdução ao Machine Learning: Com Python e Scikit-Learn,Raphael  R.,,," 2,0 ",1 classificação,57 páginas,26 outubro 2023,vazio,  eBook Kindle 
199,Pythonverso: Aprendendo Python com jogos e desafios,Guimarães,João Paulo Guimarães,," 5,0 ",1 classificação,136 páginas,2 maio 2023,vazio,  eBook Kindle 
200,Coletânea Deep Learning em Python: Do básico ao avançado,Fernando Feltrin,,,,,697 páginas,16 fevereiro 2024,vazio,  eBook Kindle 
201,Algoritmos Para Leigos,John Paul Mueller,Luca Massaron,," 4,5 ",63 avaliações de clientes,432 páginas,3 agosto 2018,Alta Books,"  Capa comum – Edição padrão, 3 agosto 2018 "
202,Redes Neurais Artificiais: Fernando Feltrin,Fernando Feltrin,,," 4,3 ",31 avaliações de clientes,607 páginas,3 maio 2020,vazio,  eBook Kindle 
203,Aprendizado Profundo Para Finanças,Jideon F Marques ,,,,,717 páginas,14 janeiro 2024,Clube de Autores,  eBook Kindle 
204,Plasticidade: teoria e exemplos na engenharia,Marco Túlio Cícero Araújo Fernandes,,," 4,7 ",9 avaliações de clientes,126 páginas,3 abril 2022,vazio,  [Print Replica] eBook Kindle 
205,Coletânea PYTHON TOTAL: Edição Tópicos Avançados / Especiais em Python,Fernando Feltrin,,,,,826 páginas,31 agosto 2023,vazio,  eBook Kindle 
206,Curso De Programação Em Python Para Iniciantes,Jideon F Marques ,,,,,472 páginas,12 novembro 2023,Clube de Autores,  eBook Kindle 
207,USE PYTHON NO POWER BI: Aumente sua produtividade com uso da linguagem Python,Business  Intelligence,,," 4,3 ",9 avaliações de clientes,18 páginas,28 dezembro 2020,vazio,  eBook Kindle 
208,Programação Descomplicada: As principais linguagens de programaçao e para que servem,Raphael  R.,,,,,54 páginas,24 outubro 2023,vazio,  eBook Kindle 
209,Robot framework: Automação versátil e consistente para testes,Thomás Daniel Vieira,,," 5,0 ",1 classificação,220 páginas,31 agosto 2023,Casa do Código,  eBook Kindle 
210,Não me faça pensar: atualizado,Steve Krug,,," 4,8 ",1.138 avaliações de clientes,212 páginas,6 agosto 2014,Alta Books,  Capa comum – 6 agosto 2014 
211,Computação Evolucionária: Aplique os algoritmos genéticos com Python e Numpy,Eduardo Pereira,,," 4,6 ",5 avaliações de clientes,253 páginas,25 setembro 2020,Casa do Código,  eBook Kindle 
212,Manual de Análise Técnica: Essência e estratégias avançadas: Tudo o que um investidor precisa saber para prosperar na bolsa de valores até em tempos de crise,Marcos Abe,,," 4,7 ",2.181 avaliações de clientes,298 páginas,6 setembro 2018,Novatec Editora,  eBook Kindle 
213,O Mínimo que você precisa saber sobre Banco de Dados e SQL: Uma abordagem prática e muito simples – para verdadeiros iniciantes (produtividadeprogramada.com.br),Tiago P. Ribeiro,,," 4,3 ",98 avaliações de clientes,133 páginas,5 janeiro 2022,vazio,  eBook Kindle 
214,Tecnologia da Informação para Concursos: Desenvolvimento de Software,Marco Aurélio  Minozzo,,,,,808 páginas,13 março 2024,vazio,  eBook Kindle 
215,Mundo Python : Guia Python Para Programadores Iniciantes c/ Projeto Bônus,Marcelo Fabiano N. de Oliveira,,," 2,0 ",1 classificação,30 páginas,20 janeiro 2024,vazio,  eBook Kindle 
216,Python De A A Z,Tiago L. Silva,,," 4,7 ",5 avaliações de clientes,142 páginas,6 agosto 2019,Clube de Autores,  Capa flexível – 6 agosto 2019 
217,Arrays com Python + Numpy - Fernando Feltrin,Fernando Feltrin,,," 4,6 ",115 avaliações de clientes,86 páginas,24 junho 2020,vazio,  eBook Kindle 
218,INTRODUÇÃO À PROGRAMAÇÃO CIENTÍFICA COM PYTHON,Luis Antonio Tavares,,," 5,0 ",1 classificação,166 páginas,27 outubro 2021,CIENCIA MODERNA,  Capa comum – 27 outubro 2021 
219,"Internet das Coisas com ESP8266, Arduino e Raspberry Pi 2ª edição: Atualizado para ESP32",Sérgio de Oliveira,,," 4,6 ",80 avaliações de clientes,376 páginas,18 março 2021,Novatec Editora,  eBook Kindle 
220,Python Essencial Da Ciência de Dados à Automação,MARCEL PACHECO,,," 4,0 ",1 classificação,118 páginas,18 agosto 2023,vazio,  eBook Kindle 
221,Put some farofa,Gregorio Duvivier,,," 4,2 ",239 avaliações de clientes,208 páginas,5 novembro 2014,Companhia das Letras,  Capa comum – 5 novembro 2014 
222,Fácil Aprendizagem Estruturas De Dados e Algoritmos Python 3: Aprenda graficamente estruturas de dados e algoritmos Python melhor do que antes,yang hu,,," 4,2 ",17 avaliações de clientes,233 páginas,6 novembro 2020,vazio,  eBook Kindle 
223,Aprenda o básico de Python: Direto ao ponto,Max Millian,,," 4,1 ",4 avaliações de clientes,39 páginas,22 janeiro 2023,vazio,  eBook Kindle 
224,Integração numérica: Série Cálculo Numérico para todos,Anibal Azevedo,,,,,vazio,19 fevereiro 2021,vazio,  [Print Replica] eBook Kindle 
225,"Coletânea PYTHON AO EXTREMO: 6 livros, 1000+ páginas",Fernando Feltrin,,," 4,7 ",5 avaliações de clientes,1010 páginas,1 novembro 2021,vazio,  eBook Kindle 
226,Metodos Numericos Computacionais,Sebastiao Cicero Pinheiro Gomes,,," 5,0 ",5 avaliações de clientes,222 páginas,22 junho 2021,CIENCIA MODERNA,  Capa comum – 22 junho 2021 
227,Algoritmos. Programação Para Iniciantes,Gilvan Vilarim,,," 4,5 ",9 avaliações de clientes,304 páginas,1 janeiro 2017,Ciência Moderna,  Capa comum – 1 janeiro 2017 
228,"Coletânea Tópicos Especiais em Python - Fernando Feltrin: 5 livros, 600+ páginas de conteúdo",Fernando Feltrin,,,,,671 páginas,28 agosto 2023,vazio,  eBook Kindle 
229,Algoritmos,Sanjoy Dasgupta,,," 4,4 ",31 avaliações de clientes,336 páginas,1 janeiro 2009,AMGH,  Capa comum – 1 janeiro 2009 
230,Primeiro Contato com Lógica de Programação e Algoritmos: Notas de Aula (Escola de Programação),Marco Aurélio Thompson,,," 4,2 ",32 avaliações de clientes,55 páginas,7 abril 2023,vazio,  eBook Kindle 
231,Criatividade,John Cleese,,," 5,0 ",3 avaliações de clientes,108 páginas,1 janeiro 2024,H1 Editora,  Capa dura – 1 janeiro 2024 
232,Inteligência Artificial e Machine Learning: Teoria e Aplicações,Marcos Airton de Sousa  Freitas,Gabriel Belmino Freitas,," 4,1 ",38 avaliações de clientes,169 páginas,3 março 2020,vazio,  eBook Kindle 
233,"PYTHON DESVENDADO: HISTÓRIA, EVOLUÇÃO E DOMÍNIO",kayky gabriel nogueira barros,,,,,570 páginas,14 outubro 2023,vazio,  eBook Kindle 
234,Desenvolvimento de sistemas para iniciantes,Salomão Da Silva,,," 3,0 ",2 avaliações de clientes,188 páginas,24 novembro 2023,vazio,  eBook Kindle 
235,Freqtrade:: bot de negociação de bitcoin gratuito e de código aberto escrito em Python,Francisco Jonas,,,,,143 páginas,3 dezembro 2023,vazio,  eBook Kindle 
236,Python: 301 Perguntas e Respostas de Especialistas,R. B. Evaluations,,," 4,6 ",18 avaliações de clientes,890 páginas,12 maio 2017,vazio,  eBook Kindle 
237,Python Resumido,Danilo Henrique,,," 4,5 ",7 avaliações de clientes,85 páginas,24 janeiro 2021,vazio,  eBook Kindle 
238,Matemática para Computação: Fundamentos e Aplicações,Dorian Torres,,," 3,8 ",7 avaliações de clientes,33 páginas,14 janeiro 2023,vazio,  eBook Kindle 
239,Não Me Faça Pensar,,,," 4,8 ",18 avaliações de clientes,vazio,1 janeiro 2001,Market Books,  Capa comum – 1 janeiro 2001 
240,Scikit-Learn para Data Science: Uma maneira fácil e rápida para os iniciantes em IA,Dheiver Francisco Santos,,," 4,5 ",2 avaliações de clientes,18 páginas,1 março 2022,vazio,  eBook Kindle 
241,Guia para se Tornar um Analista de Dados: A análise de dados é uma das profissões mais procuradas e gratificantes da era digital. Venha fazer parte desse seleto grupo de pessoas.,Tiago Linhares,,," 4,4 ",17 avaliações de clientes,54 páginas,31 julho 2023,vazio,  eBook Kindle 
242,Pyspark para Análise de dados e big data,Fabiano Rodrigues da Silva,,," 4,6 ",3 avaliações de clientes,155 páginas,20 agosto 2023,vazio,  eBook Kindle 
243,Aprendendo Java. Por Meio de Conceitos e Exemplos,Ricardo Augusto Poletini,,," 5,0 ",2 avaliações de clientes,152 páginas,1 janeiro 2015,Ciência Moderna,  Capa comum – 1 janeiro 2015 
244,"Seu primeiro projeto de manutenção preditiva: ""Usando Machine learning para prever falhas em máquinas""",Dheiver Francisco Santos,,," 3,4 ",18 avaliações de clientes,26 páginas,2 dezembro 2021,vazio,  eBook Kindle 
245,Introdução à Programação com Python: Do Zero à Automação: Um guia passo-a-passo para iniciantes,Guimarães Júnior Ferdinan Vieira,,," 1,0 ",1 classificação,15 páginas,26 julho 2023,vazio,  eBook Kindle 
246,Documentação do Cython,Cláudio Rogério Carvalho Filho,,," 4,0 ",2 avaliações de clientes,605 páginas,4 dezembro 2021,vazio,  eBook Kindle 
247,Python na Prática da Inteligência Artificial: Do Zero às Aplicações Avançadas,Virtus  et Veritas,,," 2,6 ",4 avaliações de clientes,51 páginas,23 janeiro 2024,vazio,  eBook Kindle 
248,Os Doze Macacos,Elizabeth Hand,Ludimila Hashimoto,," 4,8 ",28 avaliações de clientes,192 páginas,5 setembro 2023,Darkside,  Capa dura – 5 setembro 2023 
249,Aprendendo Lógica de Programação do Zero: Um Guia Essencial para Iniciantes (Programação Descomplicada: Domine as Linguagens do Futuro de um jeito rápido e fácil),Raphael R,,," 4,4 ",34 avaliações de clientes,48 páginas,28 março 2023,vazio,  eBook Kindle 
250,Coleção Os Melhores Filmes de Todos os Tempos (Completa - 8 volumes),Editora Europa,,," 1,0 ",1 classificação,416 páginas,1 janeiro 2021,Editora Europa,  Capa comum – 1 janeiro 2021 
251,Introdução à Economia: com aplicações em Python,Roque Neto,Chat GPT,," 4,6 ",3 avaliações de clientes,124 páginas,7 março 2023,vazio,  eBook Kindle 
252,Machine Learning: Introdução à classificação,Guilherme Silveira,Bennett Bullock,," 4,3 ",14 avaliações de clientes,637 páginas,20 outubro 2017,Casa do Código,  eBook Kindle 
253,Use a cabeça! Desenvolvendo para Android: desenvolvendo para Android,David Griffiths,Dawn Griffiths,," 4,6 ",31 avaliações de clientes,928 páginas,20 setembro 2019,Alta Books,  Capa comum – 20 setembro 2019 
254,Fácil Aprendizagem Python 3: Passo a passo para levar os iniciantes a aprender Python melhor e rápido,yang hu,,," 4,2 ",8 avaliações de clientes,180 páginas,12 novembro 2020,vazio,  eBook Kindle 
255,"Aprenda tudo sobre JavaScript , Python , Java , C# e SQL",MARCEL PACHECO,,,,,181 páginas,7 agosto 2023,vazio,  eBook Kindle 
256,Redes bayesianas: aplicações em confiabilidade e no diagnóstico de perdas não técnicas,Paulo R. F. de Moura Bastos,,," 4,5 ",16 avaliações de clientes,255 páginas,2 fevereiro 2017,Appris Editora,  Capa comum – 2 fevereiro 2017 
257,As Habilidades Necessárias para ser um Cientista de Dados: compreenda os fundamentos da ciência de dados.,Bruno  Torres,,," 4,1 ",43 avaliações de clientes,22 páginas,31 março 2021,vazio,  eBook Kindle 
258,Guia de Referência Rápida da linguagem de programação Python,Priscila Leite,,,,,19 páginas,27 dezembro 2023,vazio,  eBook Kindle 
259,"MySQL Essencial: Do básico ao avançado - um curso prático (Aprendendo Programação e Desenvolvimento Web com Javascript, C# e Bancos de Dados)",Dorian Torres,,," 4,5 ",7 avaliações de clientes,65 páginas,25 janeiro 2023,vazio,  eBook Kindle 
260,Programação Python: O guia definitivo para iniciantes e desenvolvedores experientes,M A Manivasagam,V P Binu,,,,188 páginas,23 junho 2023,vazio,  Capa comum – 23 junho 2023 
261,Decodificando Analytics: Excel com Python e Além,Liz Alexandrita de Souza Barreto,,," 5,0 ",1 classificação,130 páginas,14 outubro 2023,vazio,  eBook Kindle 
262,Computação Distribuída em Python,Fernando Feltrin,,," 3,5 ",2 avaliações de clientes,192 páginas,16 junho 2021,vazio,  eBook Kindle 
263,"TI Para Concursos: Arquitetura e Engenharia de Sistemas, Banco de Dados, Data Mining, Frameworks, Governança, Programação, Metodologias Ágeis, Métricas, Padrões, Redes e Segurança, Referenciais ISO",Diego Mathias Pinheiro,,," 3,2 ",11 avaliações de clientes,690 páginas,10 janeiro 2019,vazio,  eBook Kindle 
264,Análise Preditiva e o Consumidor Litigante: a Inteligência Artificial Pode Prever o Litígio de Consumo? (Edição 1),Ricardo Freitas Silveira,,," 5,0 ",1 classificação,123 páginas,23 fevereiro 2002,Editora Mizuno,  Capa comum – 23 fevereiro 2002 
265,MINERAÇÃO DE DADOS EDUCACIONAIS : Primeiros Passos com Python,Karina Casola,,," 4,6 ",6 avaliações de clientes,89 páginas,24 outubro 2020,vazio,  eBook Kindle 
266,Sql Avancado e Teoria Relacional - 1,Souza,,," 3,6 ",6 avaliações de clientes,168 páginas,1 janeiro 2013,Ciencia Moderna,  Capa comum – 1 janeiro 2013 
267,MicroPython - Aprenda a programar microcontroladores,Claudio Luis Vieira Oliveira,Humberto Augusto Piovesana Zanetti,," 4,6 ",6 avaliações de clientes,127 páginas,19 novembro 2021,Expressa,  eBook Kindle 
268,Documentação do RPyC,Cláudio Rogério Carvalho Filho,,,,,212 páginas,4 dezembro 2021,vazio,  eBook Kindle 
269,Crie microsaas com python: Transforme suas habilidades de programação em sucesso profissional: Aprenda a criar software incrível com Python,Elton Jefferson do Nascimento Correia,,," 5,0 ",1 classificação,22 páginas,27 janeiro 2023,vazio,  eBook Kindle 
270,Introdução à Programação e aos Algoritmos,João Araujo Ribeiro,,," 4,6 ",21 avaliações de clientes,248 páginas,19 junho 2019,LTC,  Capa comum – 19 junho 2019 
271,Gestão da Segurança da Informação em Sistemas-de-Sistemas com RDFLib,Roberto  Monteiro Dias,,,,,293 páginas,19 dezembro 2023,vazio,  eBook Kindle 
272,Web Scraping com Python: Coletando Dados na Web Moderna,Ryan Mitchell,,," 4,7 ",38 avaliações de clientes,288 páginas,19 agosto 2015,Novatec Editora,  Capa comum – 19 agosto 2015 
273,Introducao A Programacao Pensamento Computacional,Severino Do Ramo Paiva,,," 4,0 ",12 avaliações de clientes,242 páginas,22 junho 2021,CIENCIA MODERNA,  Capa comum – 22 junho 2021 
274,Betting Python - Código Para Prognósticos,Victor C.,,,,,14 páginas,24 agosto 2023,vazio,  eBook Kindle 
275,Python Machine Learning,Sebastian Raschka,Vahid Mirjalili,," 4,4 ",45 avaliações de clientes,618 páginas,21 fevereiro 2019,Marcombo,  Capa comum – 21 fevereiro 2019 
276,O Fantasma - volume 10: O fantasma aterroriza os terroristas!,Tony DePaul,,," 4,7 ",50 avaliações de clientes,52 páginas,15 julho 2021,Mythos,"  Canoa, Grampeado ou Costurado – 15 julho 2021 "
277,Computação em Nuvem,Manoel Veras Sousa de Neto,,," 4,5 ",49 avaliações de clientes,321 páginas,15 outubro 2015,BRASPORT,  eBook Kindle 
278,Estatística e Ciência de Dados,Pedro Alberto Morettin,Julio da Motta Singer,," 4,8 ",153 avaliações de clientes,464 páginas,30 junho 2022,LTC,  Capa comum – 30 junho 2022 
279,IoT com MicroPython e NodeMCU,Cláudio Luís Vieira Oliveira,Humberto A. Piovesana Zanetti,," 4,7 ",36 avaliações de clientes,369 páginas,11 fevereiro 2022,Novatec Editora,  eBook Kindle 
280,"Da Revolução do Stand-up à TV Pirata: Comédia e Sociedade no Brasil, Estados Unidos e Inglaterra",André Boucinhas,,," 5,0 ",6 avaliações de clientes,116 páginas,21 novembro 2022,7Letras,  Capa comum – 21 novembro 2022 
281,"Para Que Serve Tudo Isso?. A Filosofia E O Sentido Da Vida, De Platão A Monty Python",Julian Baggini,,," 4,2 ",5 avaliações de clientes,216 páginas,1 fevereiro 2008,Zahar,  Capa comum – 1 fevereiro 2008 
282,Minha Lady Jane,Brodi Ashton,,," 4,4 ",269 avaliações de clientes,368 páginas,20 junho 2017,Gutenberg,  Capa comum – 20 junho 2017 
283,Aprendendo Julia - Introdução à linguagem de programação Julia,Amaury André,,," 4,7 ",20 avaliações de clientes,61 páginas,12 abril 2020,vazio,  eBook Kindle 
284,ChatGPT e Python Em Ação Para Iniciantes,Marcelo Fabiano Nascimento de Oliveira,,," 5,0 ",1 classificação,36 páginas,3 março 2024,vazio,  eBook Kindle 
285,Introdução aos Métodos Estatísticos Para Economia e Finanças,Alexandre Xavier Ywata De Carvalho,,," 4,1 ",13 avaliações de clientes,360 páginas,1 janeiro 2015,Editora UnB,  Capa comum – 1 janeiro 2015 
286,Computação Científica usando Python,Rosevaldo de Oliveira,Victor Hugo Garcia Campos,," 4,1 ",32 avaliações de clientes,vazio,8 setembro 2016,vazio,  [Print Replica] eBook Kindle 
287,Botando a Mão na Massa: Guia prático para aprender Python,Marcelo  Fabiano,,,,,30 páginas,20 janeiro 2024,vazio,  eBook Kindle 
288,"Automação de Testes na Prática com Python, Selenium e Behave.",João Victor  Barreto,,," 4,5 ",13 avaliações de clientes,32 páginas,26 novembro 2019,vazio,  eBook Kindle 
289,Iniciando em python,GUSTAVO GUIMARAES,,,,,38 páginas,26 julho 2023,vazio,  eBook Kindle 
290,Análise Técnica de Ações - Padrões Gráficos,Luís Sérgio Martins,,," 4,9 ",19 avaliações de clientes,482 páginas,17 agosto 2020,Clube de Autores,  Capa flexível – 17 agosto 2020 
291,Analítica de dados com Hadoop: Uma introdução para cientistas de dados,Benjamin Bengfort,Jenny Kim,," 4,7 ",89 avaliações de clientes,462 páginas,22 maio 2019,Novatec Editora,  eBook Kindle 
292,151 Desafios Pythonicos: Aprenda Python Através de Exercícios,F. Lima,,,,,86 páginas,30 julho 2023,vazio,  eBook Kindle 
293,Introdução ao Pentest,Daniel Moreno,,," 4,8 ",334 avaliações de clientes,384 páginas,28 outubro 2019,Novatec Editora,  Capa comum – 28 outubro 2019 
294,Raspberry PI descomplicado,Claudio Luis Vieira Oliveira,,," 4,6 ",46 avaliações de clientes,224 páginas,23 fevereiro 2018,Editora Érica,  Capa comum – 23 fevereiro 2018 
295,Termodinâmica na Engenharia Química,Frederico Wanderley Tavares,,," 5,0 ",5 avaliações de clientes,344 páginas,19 janeiro 2023,LTC,  Capa comum – 19 janeiro 2023 
296,Visão Computacional em Python: Do básico às redes neurais artificiais,Fernando Feltrin,,,,,636 páginas,9 outubro 2023,vazio,  eBook Kindle 
297,Python - do Inicio ao Desenvolvimento Basico de Jogos,Higor Zardo Medeiros,,,,,291 páginas,14 março 2021,Clube dos Autores,  Capa comum – 14 março 2021 
298,Inteligência Artificial Aplicada: Usando Python e TensorFlow,Raphael  R.,,,,,46 páginas,1 novembro 2023,vazio,  eBook Kindle 
