,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
32,Introdução a Algoritmos e Programação com Python - Uma Abordagem Dirigida Por Testes,Raul Sidnei Wazlawick,,," 4,9 ",21 avaliações de clientes,540 páginas,17 novembro 2023,GEN LTC,  eBook Kindle 
33,Programação Orientada a Objetos – Conceitos e técnicas,SERGIO FURGERI,,," 4,2 ",24 avaliações de clientes,267 páginas,18 junho 2018,Érica,  eBook Kindle 
34,Começando a programar em Python Para leigos,John Paul Mueller,,," 4,5 ",38 avaliações de clientes,400 páginas,20 maio 2016,Alta Books,"  Capa comum – Edição padrão, 20 maio 2016 "
35,Análise de Séries Temporais: Modelos Multivariados e Não Lineares (Volume 2),Pedro A. Morettin,Clélia M. C. Toloi,," 4,7 ",52 avaliações de clientes,284 páginas,1 setembro 2020,Blucher,  Capa comum – 1 setembro 2020 
36,Introdução à programação em Python (Série Universitária),Sérgio Furgeri,,,,,185 páginas,12 março 2021,Editora Senac São Paulo,  eBook Kindle 
37,CRUD em Python,Fernando Feltrin,,," 5,0 ",2 avaliações de clientes,187 páginas,9 janeiro 2024,vazio,  eBook Kindle 
38,Introdução ao MongoDB,David Hows,,," 4,5 ",69 avaliações de clientes,168 páginas,5 março 2015,Novatec Editora,  Capa comum – 5 março 2015 
39,Python para todos: Iniciante,Anibal Azevedo,,," 4,3 ",24 avaliações de clientes,352 páginas,4 fevereiro 2021,vazio,  eBook Kindle 
40,+100 Problemas com soluções e Projetos com Python: Exercícios do nível iniciante até o super avançado para exercitar sua logica de programação,Nomade  Programador,,,,,45 páginas,23 abril 2023,vazio,  eBook Kindle 
41,Introducao A Programacao Numerica Em Python,Elinei Pinto Dos Santos,,," 3,8 ",7 avaliações de clientes,288 páginas,6 fevereiro 2021,MODERNA,  Capa comum – 6 fevereiro 2021 
42,Aprenda a programar com Python: Descomplicando o desenvolvimento de software,Leonardo Soares e Silva,Gabriel Fortes,," 5,0 ",1 classificação,389 páginas,10 junho 2022,Casa do Código,  eBook Kindle 
43,"Análise Exploratória de Dados com Python, Pandas e Numpy",Fernando Feltrin,,," 4,5 ",77 avaliações de clientes,180 páginas,29 junho 2021,vazio,  eBook Kindle 
44,Aplicações Avançadas de Visão Computacional: Da Teoria à Prática,Francisco Iago Lira Passos,,,,,83 páginas,23 abril 2024,vazio,  eBook Kindle 
45,Método de Volumes Finitos Aplicado à Condução de Calor: Uma abordagem com Python,Aluizio de Freitas,,," 4,6 ",14 avaliações de clientes,vazio,2 julho 2021,vazio,  eBook Kindle 
46,Data Science Para Programadores. Um Guia Completo Utilizando a Linguagem Python,Cleuton Sampaio de Melo Junior,,," 3,6 ",5 avaliações de clientes,256 páginas,1 janeiro 2018,Irh Press do Brasil,  Capa comum – 1 janeiro 2018 
47,Tratamento de Dados com Python + Pandas: Versão Estendida,Fernando Feltrin,,," 3,9 ",6 avaliações de clientes,214 páginas,12 julho 2022,vazio,  eBook Kindle 
48,SOLID: Rápido e Fácil,Avner Mayer,,," 4,3 ",24 avaliações de clientes,35 páginas,10 fevereiro 2023,vazio,  eBook Kindle 
49,Design de Microsserviços com Django: uma Visão Geral das Ferramentas e Práticas,Akos Hochrein,,," 4,4 ",43 avaliações de clientes,144 páginas,15 abril 2020,Novatec Editora,  Capa comum – 15 abril 2020 
50,"Estruturas de Dados: Domine as práticas essenciais em C, Java, C#, Python e JavaScript",Thiago Leite e Carvalho,,," 4,0 ",2 avaliações de clientes,375 páginas,13 junho 2023,Casa do Código,  eBook Kindle 
51,Python Além da Teoria,Enzo Carvalho Tucci,,," 5,0 ",2 avaliações de clientes,53 páginas,21 junho 2023,vazio,  eBook Kindle 
52,Python Poderoso: Dominando a Linguagem,julio cesar,,,,,73 páginas,4 abril 2024,vazio,  eBook Kindle 
53,Programação Matemática: Otimização Linear e Não Linear,José Felipe Souza de Almeida,,," 3,0 ",5 avaliações de clientes,vazio,5 julho 2021,Editora Dialética,  eBook Kindle 
54,Introdução à Programação usando Python,Sónia Rolland Sobral,,,,,232 páginas,10 março 2023,Sílabo,  Capa comum – 10 março 2023 
55,Curso Básico da Linguagem C,Peter Jandl Junior,,," 4,6 ",28 avaliações de clientes,232 páginas,4 abril 2019,Novatec Editora,  Capa comum – 4 abril 2019 
56,Consumindo a API do Zabbix com Python,Janssen dos Reis Lima,,," 4,5 ",43 avaliações de clientes,214 páginas,17 maio 2016,BRASPORT,  eBook Kindle 
57,Deixe seu código limpo e brilhante: Desmistificando Clean Code com Java e Python,José Yoshiriro,,," 4,0 ",2 avaliações de clientes,232 páginas,17 maio 2023,Casa do Código,  eBook Kindle 
58,Flask de A a Z: Crie aplicações web mais completas e robustas em Python,Tiago Silva,,," 4,0 ",10 avaliações de clientes,353 páginas,29 outubro 2019,Casa do Código,  eBook Kindle 
59,Coletânea PYTHON TOTAL: Edição Exercícios Resolvidos e Comentados em Python,Fernando Feltrin,,,,,1015 páginas,5 março 2024,vazio,  eBook Kindle 
60,Python Rad (Rapid Application Development) - Aplicacao Para Web e Desktop,Souza,,," 3,5 ",4 avaliações de clientes,224 páginas,1 janeiro 2014,Ciencia Moderna,  Capa comum – 1 janeiro 2014 
61,Programação em Python. Introdução à Programação Utilizando Múltiplos Paradigmas,João Pavão Martins,,," 3,6 ",2 avaliações de clientes,596 páginas,1 janeiro 2015,IST Press,  Capa comum – 1 janeiro 2015 
62,Introdução a Programação com Python,Rojas,kostin,," 5,0 ",2 avaliações de clientes,176 páginas,9 setembro 2020,Ciencia Moderna,  Capa comum – 9 setembro 2020 
63,Fundamentos Algorítmicos Negociação Com Pythonseu,Jideon F Marques ,,,,,329 páginas,30 janeiro 2024,Clube de Autores,  eBook Kindle 
64,Coletânea PYTHON TOTAL Volume 3,Fernando Feltrin,,," 5,0 ",1 classificação,2215 páginas,10 julho 2022,vazio,  eBook Kindle 
65,Black Hat Python: Programação Python Para Hackers e Pentesters,Justin Seitz,,," 4,6 ",211 avaliações de clientes,200 páginas,2 março 2015,Novatec Editora,  Capa comum – 2 março 2015 
66,Pipeline de Dados e ETL : Um Guia Prático para Engenheiros de Dados,Cézar Augusto Meira Carmo,,," 3,4 ",8 avaliações de clientes,89 páginas,22 julho 2023,vazio,  eBook Kindle 
67,Coletânea PYTHON TOTAL: Edição Redes Neurais Artificiais,Fernando Feltrin,,,,,1663 páginas,5 abril 2023,vazio,  eBook Kindle 
68,Domínio da Inteligência Artificial com Python: Do Básico ao Avançado,Francisco Iago Lira Passos,,,,,39 páginas,20 abril 2024,vazio,  eBook Kindle 
69,Dominando o Pyspark: Guia Prático e Objetivo,Cézar Augusto Meira Carmo,,," 4,4 ",7 avaliações de clientes,177 páginas,3 julho 2023,vazio,  eBook Kindle 
70,"Python, ChatGPT e Django REST: Seu Guia para Dominar APIs Poderosas e Não Ficar Obsoleto: Desenvolva Habilidades Essenciais e Mantenha-se à Frente da Concorrência no Mundo da Programação",Marcus Vinicius D. B. Braga,,," 1,0 ",1 classificação,444 páginas,23 abril 2023,vazio,  eBook Kindle 
71,Processamento de linguagem natural com Python: Simplesmente em profundidade,Ajit Singh,André Diogo Weber,," 4,3 ",7 avaliações de clientes,102 páginas,19 junho 2021,Babelcube Inc.,  eBook Kindle 
72,ALGORITMOS COM PYTHON PARA INICIANTES,RAFAEL SOARES DE ALMEIDA,,,,,252 páginas,1 janeiro 2023,CIENCIA MODERNA,  Capa comum – 1 janeiro 2023 
73,Use a cabeça! Programação: programação,Paul Barry,David Griffiths,," 4,6 ",102 avaliações de clientes,440 páginas,18 agosto 2009,Alta Books,  Capa comum – 18 agosto 2009 
74,Algoritmos e Lógica da Programação,Marco A. Furlan de Souza,,," 4,7 ",676 avaliações de clientes,304 páginas,10 janeiro 2019,Editora Cengage,  Capa comum – 10 janeiro 2019 
75,Visão Computacional em Python: Do básico às redes neurais artificiais: Versão Estendida,Fernando Feltrin,,,,,689 páginas,10 outubro 2023,vazio,  eBook Kindle 
76,Álgebra Linear com Python: Aprenda na prática os principais conceitos (Cientista de dados - Analista Quant Livro 1),Rafael  F.V.C. Santos,,," 4,4 ",149 avaliações de clientes,91 páginas,17 julho 2018,vazio,  eBook Kindle 
77,Introdução à Orientação a Objetos com C++ e Python: Uma abordagem prática,Orlando Saraiva Jr,,," 4,4 ",60 avaliações de clientes,226 páginas,21 março 2017,Novatec Editora,  eBook Kindle 
78,A História (Quase) Definitiva de Monty Python: Cinco britânicos e um americano que reinventaram o nonsense e viraram o mundo de ponta-cabeça,Thiago Meister Carneiro,,," 4,2 ",21 avaliações de clientes,394 páginas,1 maio 2019,Viseu,  eBook Kindle 
