,0
87,"Projetos de Ciência de Dados com Python: Abordagem de Estudo de Caso Para a Criação de Projetos de Ciência de Dados Bem-sucedidos Usando Python, Pandas e Scikit-learn"
88,Programação Python: aprenda de forma rápida
89,Introdução à Visão Computacional: Uma abordagem prática com Python e OpenCV
90,Bancos de Dados Relacionais com Python e SQL
91,Python sem Mistérios
92,O Guia da Carreira-Solo dos Membros do Monty Python: De 1970 ao Covid-19
93,Introdução a Programação com Python
94,Tratamento de Dados com Python + Pandas
95,Python para crianças
96,Python Automação Suprema: Domine as Melhores Soluções para Impulsionar sua Produtividade e Transformar sua Vida (Programação Descomplicada: Domine as Linguagens do Futuro de um jeito rápido e fácil)
97,Python em 60 minutos: Guia Rápido para Iniciantes
98,Interfaces Gráficas Modernas com Python e Flet
99,Microsserviços Prontos Para a Produção: Construindo Sistemas Padronizados em uma Organização de Engenharia de Software
100,Algoritmos Em Python: Explica Algoritmos Python com Belas Imagens Aprenda Fácil e Melhor
101,O Grande Livro do Excel - Intermediário e Avançado
102,O Grande Livro de Raciocínio e Lógica
103,Algoritmos: Lógica Para Desenvolvimento de Programação de Computadores - Edição Revisada e Atualizada
104,Análise prática de séries temporais: predição com estatística e aprendizado de máquina
105,Introdução à Linguagem Python
106,Aprenda Python 3 do jeito certo: uma introdução muito simples ao incrível mundo dos computadores e da codificação
107,Programação em Python. Fundamentos e Resolução de Problemas
108,Python Cookbook
109,Python + TensorFlow 2.X - Fernando Feltrin
110,Storytelling com dados: um guia sobre visualização de dados para profissionais de negócios
111,PYTHON NA PRÁTICA: Aprenda Linguagem Python Através de Projetos Reais
112,"Desenvolvendo aplicativos com GPT-4 e ChatGPT: Crie chatbots inteligentes, geradores de conteúdo e muito mais"
113,Python: Escreva seus primeiros programas
114,Interfaces Gráficas com Python + PyQt6
115,Programação Python: Primeiros passos para a automatização
116,Mercado Financeiro com Python: Esteja a Frente dos Concorrentes!
117,Introdução à computação e programação usando Python
118,Blockchain e Criptomoedas em Python
119,Fundamentos de Python para Ciência de Dados
120,Introdução À Algoritmia e Programação com Python
121,Programação Orientada à Objetos Avançada em Python: Versão Definitiva
122,Python e Django: Desenvolvimento web Moderno e ágil
123,Introdução ao Python Para Engenharia Química
124,Introdução à Visão Computacional em Python: Fernando Feltrin
125,50 SCRIPTS PRONTOS FEITO EM PYTHON EDITION 3: PORTUGUÊS VERSION (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 4)
126,Começando a programar em Python Para leigos
127,Python: guia básico para iniciantes
128,Aprenda Python Básico - Rápido e Fácil de entender
129,Aprenda Logica de Programação com Python: Desenvolva habilidades essenciais para qualquer desenvolvedor de software e prepare-se para criar suas próprias aplicações com a linguagem amigável Python.
130,Fundamentos em Python: Guia completo para Iniciantes (Fundamentos em programação e computação)
131,"PYTHON BÁSICO - Anotações, Exemplos, Exercícios e Projetos: Vários exercícios e projetos básicos do ""hello world"" até o ""for"" com resoluções comentadas (Python, do básico ao avançado! Livro 1)"
132,Aplicativos Multiplataforma em Python
133,Automatização com Python: Automatização com Python
134,"Domine o Excel ® (3 em 1): Excel - 70 Fórmulas Incríveis, Excel - 51 Macros incríveis e 51 Dicas e Truques Incríveis"
135,PYTHON TOTAL Volume 4
136,300 Exercícios Resolvidos e Comentados em Python
137,Primeiros passos com Django
138,50 CÓDIGOS PRONTOS FEITOS EM PYTHON : LIVRO EDIÇÃO PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo 1)
139,Python para Pentesters: Guia prático para criação das próprias ferramentas
140,Automatize Tarefas Maçantes com Python: Programação Prática Para Verdadeiros Iniciantes
141,Jornada Python: uma jornada imersiva na aplicabilidade de uma das mais poderosas linguagens de programação do mundo
142,Introdução ao MongoDB
143,"Django de A a Z: Crie aplicações web rápidas, seguras e escaláveis com Python"
144,A arte da estatística: Como aprender a partir de dados
145,Código limpo: habilidades práticas do Agile software
146,"Aprenda Lógica de Programação e Algoritmos com Implementações em Portugol, Scratch, C, Java, C# e Python"
147,Aprendendo Química com python
148,Programação Orientada à Objetos AVANÇADA em Python: Fernando Feltrin
149,Econometria Financeira: um Curso em Séries Temporais Financeiras
150,Data Science Para Programadores. Um Guia Completo Utilizando a Linguagem Python
151,Aplicações Avançadas de Visão Computacional: Da Teoria à Prática
152,CSS Grid Layout: Criando Layouts CSS Profissionais
153,Python Para Todos: Explorando Dados com Python 3
154,Mestre em Programação com Python: Uma Jornada Profunda e Transformadora para Iniciantes na Ciência da Computação
155,Python e os Paradigmas da Programação
156,Python descomplicado com o Chatgpt.
157,Inteligência Artificial com Python - Fernando Feltrin: Redes Neurais Artificiais Intuitivas
158,Séries temporais com Prophet: Análise e previsão de dados com Python
159,SQL - Guia Prático: um Guia Para o uso de SQL
160,Python do zero ao absoluto : Curso Completo de Linguagem de Programação Python
161,Programação Orientada à Objetos em Python: Do Básico ao Avançado
162,"Informação, conhecimento, ação autônoma e big data: continuidade ou revolução?"
163,Aprenda mineração de dados: teoria e prática
164,Python na Prática Vol. 3 (Python na Prática - Fernando Feltrin)
165,Use a cabeça! Aprenda a programar: aprenda a programar
166,Python para Ciência de Dados: Introdução à Análise de Dados
167,Tratamento de Dados com Python + Pandas: Versão Estendida
168,Descomplicando Algoritmos e Programação: Passo a passo para o Sucesso!
169,Modelos Matemáticos para Sistemas Logísticos e de Produção: Aplicações com MathProg e Python
170,Análise de Séries Temporais: Modelos Multivariados e Não Lineares (Volume 2)
171,Introdução ao Desenvolvimento de Jogos em Python com PyGame
172,Programação de redes com Python: Guia abrangente de programação e gerenciamento de redes com Python 3
173,Programação Matemática: Otimização Linear e Não Linear
174,"Aprenda Django 3 com Exemplos: Crie Aplicações web Profissionais em Python, Começando do Zero"
175,"Estruturas de Dados: Domine as práticas essenciais em C, Java, C#, Python e JavaScript"
176,Python para todos 2: Intermediário com 22 projetos e 140 vídeos
177,Reconhecimento de Padrões: um Estudo Dirigido
178,Curso Básico da Linguagem C
179,Chatbots para Telegram: Programe seus primeiros bots usando Python
180,Deixe seu código limpo e brilhante: Desmistificando Clean Code com Java e Python
181,Desenvolvimento web com Flask: Desenvolvendo aplicações web com Python
182,Design de Microsserviços com Django: uma Visão Geral das Ferramentas e Práticas
183,Python Data Science: Do básico ao intermediário
184,Domínio de Python e Django: Construindo Aplicações Web
185,Coletânea PYTHON TOTAL: Edição Redes Neurais Artificiais
186,Programação Orientada a Objetos com Python
187,Python Poderoso: Dominando a Linguagem
188,Método de Volumes Finitos Aplicado à Condução de Calor: Uma abordagem com Python
189,Consumindo a API do Zabbix com Python
190,Introdução a Algoritmos e Programação com Python - Uma Abordagem Dirigida Por Testes
191,Pandas Python: Data Wrangling para Ciência de Dados
192,Programação Orientada a Objetos – Conceitos e técnicas
193,Python Progressivo
194,Programação em Python. Introdução à Programação Utilizando Múltiplos Paradigmas
195,Algoritmos e Programação I: Python para Matemática (Notas de Aula)
196,+100 Problemas com soluções e Projetos com Python: Exercícios do nível iniciante até o super avançado para exercitar sua logica de programação
197,Flask de A a Z: Crie aplicações web mais completas e robustas em Python
198,"A próxima onda: Inteligência artificial, poder e o maior dilema do século XXI"
199,Aprenda a programar com Python: Descomplicando o desenvolvimento de software
200,Python Rad (Rapid Application Development) - Aplicacao Para Web e Desktop
201,Python na Prática Vol. 2: Aprenda Python Através de Exercícios Comentados (Python na Prática - Fernando Feltrin)
202,"Análise Exploratória de Dados com Python, Pandas e Numpy"
203,Pipeline de Dados e ETL : Um Guia Prático para Engenheiros de Dados
204,Desenvolvimento Avançado de Aplicativos com Python e KivyMD
205,Programação funcional Para Leigos
206,Introdução à programação em Python (Série Universitária)
207,50 FUNÇÕES PANDAS COM EXEMPLOS PRÁTICOS (PYTHON) EDITION PORTUGUÊS (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 3)
208,Visão Computacional em Python: Do básico às redes neurais artificiais: Versão Estendida
209,Python Além da Teoria
210,Introdução às Expressões Regulares
211,Álgebra Linear com Python: Aprenda na prática os principais conceitos (Cientista de dados - Analista Quant Livro 1)
212,MongoDB. Construa Novas Aplicações com Novas Tecnologias
213,Tópicos de análise de dados Python
214,Algoritmos e Lógica da Programação
215,Mãos à obra: aprendizado de máquina com scikit-learn & tensorflow
216,O codificador limpo: um código de conduta para programadores profissionais
217,Coletânea PYTHON TOTAL Volume 3
218,Controladores Lógicos Programáveis: Sistemas Discretos
219,3 em 1 - Python do ZERO às Redes Neurais Artificiais: Python do básico ao avançado + Redes Neurais Artificiais
